,Name,Convention Flexibility,Convention Self-Variation,Convention Uniquiality,Inaugural Flexibility,Inaugural Self-Variation,Inaugural Uniquiality,Money Flexibility,Money Self-Variation,Money Uniquiality,Policy Flexibility,Policy Self-Variation,Policy Uniquiality,SOTU Flexibility,SOTU Self-Variation,SOTU Uniquiality,University Flexibility,University Self-Variation,University Uniquiality,War Flexibility,War Self-Variation,War Uniquiality,Commemoration Flexibility,Commemoration Self-Variation,Commemoration Uniquiality,FP Flexibility,FP Self-Variation,FP Uniquiality
0,George W. Bush,31.91623719309311,0.0,11.438415583722438,102.45943754366975,9.870360427482968,40.1345274774938,237.63022384218402,50.05803177015947,150.93458514727584,284.4521185073896,60.98837348643914,108.1178515946328,38.7205328682959,6.68231869270478,124.80007471887005,34.637571468199845,0.0,28.245957792122496,284.672559567682,35.85863711831836,255.22330200497558,0.0,0.0,0.0,0.0,0.0,0.0
1,Barack Obama,44.35845155602176,5.169164071907256,37.91346940755889,208.3790778817162,8.365403939038963,35.49394413295901,77.09420880803178,47.92057933486262,73.93741749852553,127.45899224123627,54.15519057704231,113.51108138958246,70.2580735705384,9.158265333474242,104.80306233806968,90.23883595895049,45.215225535152655,212.55758380688548,236.9710385324646,31.460937927396152,107.59797860244714,101.63872417658672,7.757077427082579,32.95689854400011,154.28846226219446,32.71578757461454,73.70068237498795
2,Franklin D. Roosevelt,32.92720618158458,19.330360297868697,155.16998779173554,199.19868050376215,36.29081610612566,53.99030260143673,317.42742227398895,30.69412916124716,181.2765844152095,39.726309069654796,0.0,34.58094737961714,37.053839768644856,12.407613445343245,99.06419738118899,0.0,0.0,0.0,387.7939717315257,54.055762286732104,270.9706886269686,60.887285847639475,0.0,83.2586517069224,64.62414143851124,0.0,87.0082270906436
3,Bill Clinton,48.81464112691219,0.0,35.11789796363615,153.1368276220713,15.486920182936602,44.94666495813661,39.18831723816102,0.0,56.171648485149326,198.41200984823723,55.078636531450684,86.75031387852468,134.39748690778185,8.092228445824382,113.37172793187965,34.097747971938155,0.0,42.10920249142949,64.77406274367964,0.0,64.26086578881163,149.6851505781745,62.35432570705212,88.39908565839248,245.4474039037751,32.86005750200029,209.36220501209323
4,George H. W. Bush,271.3084416135919,6.921367458177099,220.08505083568434,79.84712346500334,0.0,48.04443715399065,82.0134759716791,0.0,61.9853348192248,39.17584204945826,0.0,31.133489249915435,39.88793319214685,21.46868473609491,35.690059325184635,48.300436345908444,16.576628071369864,40.51987523048584,152.22149921028156,17.44136067600421,77.02409787410514,0.0,0.0,0.0,93.39322326591386,63.789015486621786,100.60105709897789
5,Richard M. Nixon,0.0,0.0,0.0,184.0989511702532,10.300993100668315,45.30522104158889,0.0,0.0,0.0,0.0,0.0,0.0,102.43519330077855,8.546858770696414,40.3481523834689,0.0,0.0,0.0,256.0543361130413,44.27706478292358,239.64261745031578,0.0,0.0,0.0,63.48774651320846,0.0,61.117651280008786
6,John F. Kennedy,26.939833613472132,0.0,39.35022886754208,98.58147081320185,0.0,45.362079144322735,122.38753550922782,32.19300462547378,54.60252484890444,68.38473148613772,57.22471673909925,186.22652263614177,104.4271905462969,3.8492838766610573,116.06739487656125,65.65541249923018,31.166093782304134,123.22978782965285,0.0,0.0,0.0,82.56089143459083,88.481901088607,82.40009134479334,61.56197827026651,47.54380113371876,103.60521833057086
7,Lyndon B. Johnson,53.014902972711994,0.0,45.61950611406074,89.99334986526219,0.0,31.789630084989167,0.0,0.0,0.0,119.82575670225398,55.642976416426976,157.99750687866847,161.9278925383943,29.054051763109104,116.55884185964884,115.92518173906028,40.68071573335572,74.55961891798941,256.64154557616206,58.4509276466713,256.26914285451085,41.21611641639905,0.0,64.39007418101258,64.95770144958001,93.71537985915735,74.0940390051173
8,Jimmy Carter,36.557661954980254,0.0,13.54496405242725,102.75160712098108,0.0,28.52287976772082,77.91273012587557,0.0,39.58058112511598,163.25420229744307,30.09191500582812,138.8326090304903,41.326506433872936,11.078786699919744,71.55358734591226,28.16598915175203,0.0,34.12209315430195,0.0,0.0,0.0,0.0,0.0,0.0,208.64290038738048,56.4783882546083,174.51893869744703
9,Ronald Reagan,69.36647267339936,33.96520422467827,50.917116931655066,61.496404669598746,4.604529498574409,26.51918366256192,293.3773103187887,31.24724984994053,131.84830784883863,34.99703110782626,0.0,40.06407397567163,128.25408275188082,12.341205571305606,32.58965237603526,35.65802799336826,0.0,39.092033357113756,113.16391736371673,41.682454860864894,44.532951635829,401.7068329409244,93.78155846406433,120.2720665529669,216.3471843964626,71.7336989904634,146.1269220192757
