Name,Jimmy Carter,Ronald Reagan,Bill Clinton,George H. W. Bush,George W. Bush,Richard M. Nixon,John F. Kennedy,Lyndon B. Johnson,Barack Obama,Franklin D. Roosevelt
Jimmy Carter,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ronald Reagan,0.0,1.0,0.810223987118248,0.0,0.0,0.0,0.6737809679971227,0.7323714218250823,0.8265579163113902,0.7039554478803296
Bill Clinton,0.0,0.6250442097055853,1.0,0.0,0.0,0.0,0.44274502976411334,0.4979390530219531,0.7605849300794317,0.44203301678625634
George H. W. Bush,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
George W. Bush,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Richard M. Nixon,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
John F. Kennedy,0.0,0.549189453784108,0.6102375677619539,0.0,0.0,0.0,1.0,0.8910363493423584,0.8292863267722711,0.7780682243544472
Lyndon B. Johnson,1.0,0.0,0.05052134153808299,1.0,1.0,1.0,0.7053785343191991,1.0,0.5074635670424575,0.5233922250436429
Barack Obama,0.7848822194118639,0.0,0.3013522664638951,0.7848822194118639,0.7848822194118639,0.7848822194118639,0.2877555855959497,0.23999514738054667,1.0,0.15358647989816437
Franklin D. Roosevelt,1.0,0.0,0.04607840405920154,1.0,1.0,1.0,0.45752760651983093,0.5691396438630731,0.504116108411522,1.0
