Name,Jimmy Carter,Ronald Reagan,Bill Clinton,George H. W. Bush,George W. Bush,Richard M. Nixon,John F. Kennedy,Lyndon B. Johnson,Barack Obama,Franklin D. Roosevelt
Jimmy Carter,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ronald Reagan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bill Clinton,1.0,1.0,1.0,0.19445363264309914,1.0,1.0,1.0,0.0,0.8320205859768751,1.0
George H. W. Bush,0.0,0.0,0.3766834977695686,1.0,0.0,0.0,0.0,0.5490321030108488,0.6909790512535101,0.0
George W. Bush,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Richard M. Nixon,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
John F. Kennedy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Lyndon B. Johnson,1.0,1.0,0.0,0.41718926113094645,1.0,1.0,1.0,1.0,0.2999270174895667,1.0
Barack Obama,1.0,1.0,0.7600544254389627,0.4295382595282246,1.0,1.0,1.0,0.0,1.0,1.0
Franklin D. Roosevelt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
