Name,Jimmy Carter,Ronald Reagan,Bill Clinton,George H. W. Bush,George W. Bush,Richard M. Nixon,John F. Kennedy,Lyndon B. Johnson,Barack Obama,Franklin D. Roosevelt
Jimmy Carter,1.0,0.7582180970307154,0.6040298980099787,0.0,0.8955828956810776,1.0,0.7602579633790794,0.6454040214634181,0.6830985964818815,0.6025562476704465
Ronald Reagan,0.903336625883751,1.0,0.8093755847837485,0.09086924640398347,0.9190204015206627,0.0,0.8211782555419536,0.7168575692979235,0.8035390030231697,0.4953159660976593
Bill Clinton,0.6798086657921686,0.6144439309969254,1.0,0.4469196419827083,0.7797741999743308,1.0,0.4306192372188558,0.700266541605597,0.8543735018742129,0.0
George H. W. Bush,0.7347267205374647,0.39677171594420085,0.8185593624082648,1.0,0.7376195509303131,0.9618320916967039,0.5197256563528092,0.700963574263681,0.6694778160497463,0.0
George W. Bush,0.8944316629044817,0.7952143620388624,0.7246512854371844,0.0,1.0,1.0,0.6742313502917837,0.6877270830673075,0.7749399836828181,0.5109499771650033
Richard M. Nixon,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
John F. Kennedy,0.8675816080523817,0.7529491869879684,0.6110804892181596,0.0,0.8220281267698584,1.0,1.0,0.7066184811983555,0.6683547520783726,0.8594123127361768
Lyndon B. Johnson,0.6854402005407552,0.3717446287203362,0.6711805794798602,0.0,0.7260055928793503,1.0,0.5288078499676816,1.0,0.6221730323503167,0.2394265562827438
Barack Obama,0.7717319211149888,0.6460359091399351,0.8702778168571167,0.1025130787833811,0.8396542948782725,0.9157315456754545,0.5674954499979539,0.6932076256211089,1.0,0.0
Franklin D. Roosevelt,0.8945687924176436,0.66513102482006,0.6719452517855233,0.0,0.871682835391013,0.8125532384887886,0.9324793407744908,0.7725608358808284,0.631724790482522,1.0
