Name,Jimmy Carter,Ronald Reagan,Bill Clinton,George H. W. Bush,George W. Bush,Richard M. Nixon,John F. Kennedy,Lyndon B. Johnson,Barack Obama,Franklin D. Roosevelt
Jimmy Carter,1.0,0.3236870988964262,0.21331341780531882,0.5858273152768086,0.0,0.8199491875873443,0.5169893857215765,0.42424216962160893,0.4169094687522416,0.7123019471777775
Ronald Reagan,0.8534078207507169,1.0,0.8101704133985329,0.9397306476591446,0.0,0.929126102666528,0.8908242407479114,0.9415375350307948,0.9528306305071124,0.9120184000198096
Bill Clinton,0.2139023051455948,0.12486399371889778,1.0,0.36879682345796755,0.0,0.7792579377305474,0.5340659131819664,0.5297643848311262,0.5326870252105254,0.6854463613123999
George H. W. Bush,0.5599560324904754,0.704574476436194,0.32886635004914194,1.0,0.0,0.5980486499997898,0.40587386656182234,0.6797621323086813,0.7571941152768414,0.49495776769428734
George W. Bush,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Richard M. Nixon,0.5240775274444804,0.135700398323226,0.4160825653881128,0.0,1.0,1.0,0.6391014247387242,0.3103508765543714,0.17535425402212412,0.6688880138134897
John F. Kennedy,0.6501360165226037,0.6351573061632253,0.6622524044929972,0.594951899999977,0.0,0.9011022063851223,1.0,0.7794322828835913,0.7029113409563751,0.8516605094919493
Lyndon B. Johnson,0.7592323790201494,0.8872095779130161,0.8032118388533096,0.873957707053645,0.0,0.8908948401216115,0.8726621201694891,1.0,0.8730264933539719,0.8449185243642642
Barack Obama,0.15876243902695017,0.6860361771337649,0.32529220775915935,0.6702936919869825,0.0,0.5499000521720318,0.4082664711195891,0.5619360126537877,1.0,0.4825867795657447
Franklin D. Roosevelt,0.39476526429130504,0.14608302111328816,0.3377730419811413,0.0,1.0,0.73647568196167,0.5691747550428854,0.21983112691254014,0.24553034455602535,1.0
