Name,Jimmy Carter,Ronald Reagan,Bill Clinton,George H. W. Bush,George W. Bush,Richard M. Nixon,John F. Kennedy,Lyndon B. Johnson,Barack Obama,Franklin D. Roosevelt
Jimmy Carter,1.0,0.2157697322264466,0.14544863558341747,0.0,0.46237020426690717,0.1830938526971703,0.05793940238388261,0.19210317210506772,0.4516372151766722,0.47081262539074564
Ronald Reagan,0.15610726140310413,1.0,0.16152762658300526,0.0,0.38201412812743674,0.0653521304433468,0.03112536271868683,0.26535215525456607,0.23821354689997878,0.1654011026592438
Bill Clinton,0.4036037696032206,0.45619671625251584,1.0,0.09626024025629316,0.17806514906084117,0.409916770955536,0.4700954435033839,0.3851195132067481,0.6381657577372576,0.0
George H. W. Bush,0.3298429914380845,0.3772224996879862,0.13219282738833885,1.0,0.21381912976379186,0.5724954243537878,0.20847863679643516,0.7711103132464788,0.0,0.19514907254393526
George W. Bush,0.5749916245985057,0.5460071055198158,0.06898894792719275,0.07261499965475689,1.0,0.0,0.004395459068886924,0.2699917782067206,0.370382424204183,0.4129075517183921
Richard M. Nixon,0.4216439799532952,0.38506747149724685,0.4013959511231596,0.548365302494534,0.1044106153092984,1.0,0.45698800174427784,0.6498349654591264,0.14412744728249727,0.0
John F. Kennedy,0.3148512046935174,0.34516784576874693,0.4477865313292455,0.1410020327525971,0.08403523285290421,0.4421821744168665,1.0,0.3093682834858351,0.464923611992049,0.0
Lyndon B. Johnson,0.20120898022320252,0.3249859230536828,0.12889348078177817,0.6623032104998081,0.08695777354238467,0.5109796272780955,0.0611034767699198,1.0,0.0,0.20238127656711394
Barack Obama,0.6325108365161173,0.5255765369668136,0.6525522448839013,0.0,0.4662483289347002,0.18985535328071618,0.5069553035017692,0.32220354510242943,1.0,0.4285947962910103
Franklin D. Roosevelt,0.6306771382829667,0.45870891471791275,0.0,0.1618232635487329,0.4816906384822245,0.014234484127469537,0.04039907289447086,0.4369917132752344,0.404935084873569,1.0
