Name,Jimmy Carter,Ronald Reagan,Bill Clinton,George H. W. Bush,George W. Bush,Richard M. Nixon,John F. Kennedy,Lyndon B. Johnson,Barack Obama,Franklin D. Roosevelt
Jimmy Carter,1.0,0.6579138529403468,0.2332135608888167,0.5989485557888787,0.3205959715170991,0.5258177665293465,0.33664383742654325,0.0,0.41207505968280805,0.824929435522314
Ronald Reagan,0.0,1.0,0.12864927136442403,0.5588482551890197,0.3826359259761086,1.0,0.18812926221416765,0.21620053440849993,0.22763509959394138,0.38255594027831913
Bill Clinton,0.4560617180191204,0.7885519483009481,1.0,0.8872773824028584,0.6616418422030101,0.0,0.21690025993578135,0.7133054981105181,0.7404216517658198,0.8167332641186262
George H. W. Bush,0.0,0.6237093698842568,0.6037805607342975,1.0,0.5255719093973923,1.0,0.030882537548539344,0.6302406926344369,0.4246534987313869,0.5077519402827086
George W. Bush,0.6781051836807955,0.8999394913809555,0.7740109921364692,0.9098519482383095,1.0,0.0,0.634961362986394,0.600067061769129,0.7311073667708916,0.875791639178256
Richard M. Nixon,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
John F. Kennedy,0.3990962837710695,0.7484174598168349,0.0,0.6479254559366909,0.3020712469440581,0.18747940322866374,1.0,0.1502370209149983,0.026978316975233098,0.7444152089243822
Lyndon B. Johnson,0.41064642028362125,0.8419784285336486,0.7618118844460551,0.9126032817872399,0.5025181573717049,0.0,0.44713943836660525,1.0,0.5182527839504115,0.8276338227401233
Barack Obama,0.6469591777594643,0.8413423347431643,0.7802664839268393,0.8614416818245905,0.6592027505353015,0.0,0.3549885284101676,0.509152786355615,1.0,0.8669312564059115
Franklin D. Roosevelt,0.4013995929007598,0.2778008380210094,0.11665100548158233,0.324993471271003,0.10362684644328861,1.0,0.03528115765364724,0.0,0.2423006929997004,1.0
