Name,Jimmy Carter,Ronald Reagan,Bill Clinton,George H. W. Bush,George W. Bush,Richard M. Nixon,John F. Kennedy,Lyndon B. Johnson,Barack Obama,Franklin D. Roosevelt
Jimmy Carter,1.0,0.6951557436038137,1.0,1.0,0.0,0.683655656390393,1.0,0.5010202058839615,1.0,1.0
Ronald Reagan,0.7021971508951549,1.0,1.0,1.0,0.0,0.8739300319174178,1.0,0.6423182035880255,1.0,1.0
Bill Clinton,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
George H. W. Bush,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
George W. Bush,0.4216116342707027,0.4079359153582912,1.0,1.0,1.0,0.4233091977418721,1.0,0.0,1.0,1.0
Richard M. Nixon,0.6827244561702405,0.8705692895372141,1.0,1.0,0.0,1.0,1.0,0.6244627259303359,1.0,1.0
John F. Kennedy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Lyndon B. Johnson,0.9536244843833636,0.9659707953756455,0.0,0.0,0.8393109647878388,0.9651997537098965,0.0,1.0,0.0,0.0
Barack Obama,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Franklin D. Roosevelt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
