,congress_close_centra,fp_close_centra,war_close_centra,inaugural_close_centra,money_close_centra,sotu_close_centra,veto_close_centra,commemoration_close_centra,convention_close_centra,policy_close_centra,press_close_centra,university_close_centra,voice_close_centra
John F. Kennedy,0.9992678817932793,8.620965007792222,7.797280379443705,159.17808684247282,4.393607025265084,159.2075583706381,1.0,2.2370648705342098,8.45116447864623,8.785982290347015,0.9987880170537196,4.472119449592148,13.43173062581259
Richard M. Nixon,0.9992678817932793,8.11410122649778,4.431447209018733,254.1916089453486,8.589672414153897,129.8459922788552,1.0,2.969047891458259,173.41537249999487,117.31414810361369,1.7904630936030257,8.79583238905009,19.240181563882842
Jimmy Carter,0.9992678817932793,8.580112384330796,7.797280379443705,287.0151405086752,4.3659076120410685,123.13146481222955,1.0,2.969047891458259,8.598971160248594,8.706150307243627,1.7924615172297642,4.408281012600614,12.88024609731024
George W. Bush,0.9992678817932793,0.9924696803130401,4.4131747283645755,202.71299102741153,4.395488411609827,207.7948812087224,1.0,2.969047891458259,8.254080635480546,8.746818794651348,1.7868433718862735,4.368177133002031,12.333670363396552
Barack Obama,1.4931520964147873,8.639602289566337,4.408857482787247,213.20476584513654,4.42138988563001,126.11817995668748,1.0,2.2435705201486225,8.571511572018007,8.68281929517113,0.9987880170537196,4.445280844566578,17.849304618030317
Lyndon B. Johnson,1.4958376695769338,8.714675550778583,4.422745746562535,326.0099790195776,8.589672414153897,140.37385377153078,1.0,2.2423074833714525,7.979683302152182,8.716050571419093,1.7849122860130522,4.431190056261781,13.018104607666864
Bill Clinton,1.4943025548281537,8.588402405271804,4.367308891320826,186.4356557751806,4.355585038726045,128.4318447867292,1.0,2.2364024048696387,8.236639185423913,8.580559301262367,0.9987880170537196,4.393173981286115,20.157230983210244
Ronald Reagan,0.9992678817932793,8.596977032309852,4.39824525221144,338.5801566387324,4.37122905683886,98.6483613952691,1.0,2.2446769409936556,8.672525237685345,8.662793033427379,1.7822188669583723,4.311017499566045,9.096635044466716
Franklin D. Roosevelt,0.9992678817932793,8.361672900640306,4.446066611733628,306.29372424189205,4.417824451435652,108.56791240478013,1.0,2.2384295359048973,8.639368333508953,8.49024703414489,0.9987880170537196,8.79583238905009,25.77454613467045
George H. W. Bush,1.4987583959700868,8.580576025037915,4.380109436148954,361.8323911478495,4.395567543420365,107.64383893522745,1.0,2.969047891458259,8.57320785864438,8.312726322880515,0.9987880170537196,4.445127643407228,10.367361628689922
