Name,Jimmy Carter,Ronald Reagan,Bill Clinton,George H. W. Bush,George W. Bush,Richard M. Nixon,John F. Kennedy,Lyndon B. Johnson,Barack Obama,Franklin D. Roosevelt
Jimmy Carter,1.0,0.6531250723592104,0.0,0.43558192980898547,0.5842923385130012,0.627391449571426,0.791769020625012,0.26870597727312734,0.09930650632461757,0.6847667277154232
Ronald Reagan,0.4483109385042184,1.0,0.0,0.5428500232347383,0.1748213541706027,0.6435187241707868,0.24013281810363488,0.08517849535655539,0.12022947604233465,0.14056125839297015
Bill Clinton,0.2800934599171902,0.5473582015160766,1.0,0.9014697749514122,0.23013466434225371,0.6507827496839613,0.0,0.6119258306455282,0.8064648467586122,0.18415482125587743
George H. W. Bush,0.36738351430093097,0.677836129347704,0.8465973183986474,1.0,0.3294676033952821,0.7016535615758844,0.0,0.6624799615330881,0.769128205307627,0.2923495837054641
George W. Bush,0.6838501161599178,0.6054232281972712,0.1867133484772773,0.5450274785754777,1.0,0.5059984301446334,0.5050265298591091,0.0,0.30206651139627083,0.6479300095342561
Richard M. Nixon,0.4263731312287623,0.6549421363813399,0.25321387835067816,0.5902132320294619,0.0,1.0,0.23101275263579865,0.4080629537763768,0.11663275616276315,0.318940360423371
John F. Kennedy,0.8500931561000982,0.6560523521775115,0.0,0.35770206869898874,0.5314531278507594,0.6404009069430286,1.0,0.28693720013994634,0.1547793786378676,0.7139180547575391
Lyndon B. Johnson,0.4438434944618193,0.5625585830385438,0.5900379883098524,0.7709844539799112,0.0,0.7075821699099815,0.24671961450488505,1.0,0.4119242922564088,0.2271106715686067
Barack Obama,0.23284510538564615,0.5288556595133708,0.771024099093203,0.8245564857519465,0.2183450650427833,0.5112681335601159,0.0,0.3413809673958482,1.0,0.12030723898716421
Franklin D. Roosevelt,0.7218363235060021,0.5231719107703832,0.0,0.44288155361787307,0.5914997015794938,0.6096296330709134,0.6493428499720502,0.10323080677059714,0.08863289084383381,1.0
