Name,Jimmy Carter,Ronald Reagan,Bill Clinton,George H. W. Bush,George W. Bush,Richard M. Nixon,John F. Kennedy,Lyndon B. Johnson,Barack Obama,Franklin D. Roosevelt
Jimmy Carter,1.0,0.41519176142661224,0.43065671199278394,0.7315195926888953,0.7899598610126263,1.0,0.706698521563357,0.6349166878716264,0.0,1.0
Ronald Reagan,0.05583732292119389,1.0,0.6914381990739648,0.2942187662877463,0.19734063818132916,1.0,0.07479248125509441,0.0,0.5418859182636435,1.0
Bill Clinton,0.17906565866039995,0.7244229590883459,1.0,0.2735667136938697,0.33978160982362937,1.0,0.0,0.18477624727833,0.610706281475077,1.0
George H. W. Bush,0.7612681169106665,0.6112820589121242,0.5520192594160332,1.0,0.8104929726805206,0.5441949061534724,0.5070191849134601,0.42836300273658856,0.0,0.5441949061534724
George W. Bush,0.7621572431162625,0.4370295984972148,0.4815092269533326,0.7586678807357363,1.0,1.0,0.6487632235039362,0.7059523703223642,0.0,1.0
Richard M. Nixon,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
John F. Kennedy,0.8943929648126988,0.7936595348646441,0.7502851440950554,0.8003769020499291,0.8883160031309929,0.0,1.0,0.7587695844098923,0.08195738848354012,0.0
Lyndon B. Johnson,0.798221938412821,0.6576671173077978,0.6875183131829677,0.6446924244268337,0.8564801362627411,0.0643772964648817,0.6297155874312359,1.0,0.0,0.0643772964648817
Barack Obama,0.6077926225069092,0.8887100227604484,0.8941090276130311,0.5589194241794594,0.6536396854801392,0.25230346125698233,0.0,0.2903670136879781,1.0,0.25230346125698233
Franklin D. Roosevelt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
