Name,Jimmy Carter,Ronald Reagan,Bill Clinton,George H. W. Bush,George W. Bush,Richard M. Nixon,John F. Kennedy,Lyndon B. Johnson,Barack Obama,Franklin D. Roosevelt
Jimmy Carter,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ronald Reagan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bill Clinton,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
George H. W. Bush,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
George W. Bush,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Richard M. Nixon,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
John F. Kennedy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Lyndon B. Johnson,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Barack Obama,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Franklin D. Roosevelt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
