Name,John F. Kennedy,Richard M. Nixon,Jimmy Carter,George W. Bush,Barack Obama,Lyndon B. Johnson,Bill Clinton,Ronald Reagan,Franklin D. Roosevelt,George H. W. Bush
John F. Kennedy,1.0,0.0023421379656619543,0.0023421379656619543,0.0023421379656619543,0.0009952342359601492,0.006934959389711233,0.004535391283781901,0.0,0.0010382807041448157,0.0023421379656619543
Richard M. Nixon,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Jimmy Carter,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
George W. Bush,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Barack Obama,0.0,0.004594182929273666,0.004594182929273666,0.004594182929273666,1.0,0.0009046692018552866,0.007436405625591785,0.010583660445354135,0.006906967405174369,0.004594182929273666
Lyndon B. Johnson,0.005135994605831294,1.0,1.0,1.0,9.091552205128804e-05,1.0,0.006346805667459371,0.00025870665283834137,0.0,1.0
Bill Clinton,0.005791892027717149,0.0,0.0,0.0,0.009675831037665904,0.009395527394987373,1.0,0.009119127554206694,0.00393685945919905,0.0
Ronald Reagan,0.0037213247384931016,0.0,0.0,0.0,0.015246636568905736,0.0057801254573492215,0.011558881541816146,1.0,0.006826615244928335,0.0
Franklin D. Roosevelt,0.0,1.0,1.0,1.0,0.006864173825794631,0.0007707715292341271,0.0016414378558928268,0.0020807691826530473,1.0,1.0
George H. W. Bush,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
