Name,John F. Kennedy,Richard M. Nixon,Jimmy Carter,George W. Bush,Barack Obama,Lyndon B. Johnson,Bill Clinton,Ronald Reagan,Franklin D. Roosevelt,George H. W. Bush
John F. Kennedy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Richard M. Nixon,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Jimmy Carter,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
George W. Bush,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Barack Obama,1.0,1.0,1.0,1.0,1.0,0.0,0.013119074247577679,1.0,1.0,0.002495034971246973
Lyndon B. Johnson,1.0,1.0,1.0,1.0,0.0,1.0,0.0035661382750770466,1.0,1.0,0.0007313314546660896
Bill Clinton,1.0,1.0,1.0,1.0,0.010590247359972582,0.0010128325261296743,1.0,1.0,1.0,0.0
Ronald Reagan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Franklin D. Roosevelt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
George H. W. Bush,0.0,0.0,0.0,0.0,0.008347247500088773,0.0065938913684117795,0.008407749917395523,0.0,0.0,1.0
