Name,John F. Kennedy,Richard M. Nixon,Jimmy Carter,George W. Bush,Barack Obama,Lyndon B. Johnson,Bill Clinton,Ronald Reagan,Franklin D. Roosevelt,George H. W. Bush
John F. Kennedy,1.0,1.0,0.014369246201406083,0.0,0.0013006784946962748,0.011068406649232755,0.004789166104780937,0.0018855545152891009,0.00145978753451208,0.0035116907989792864
Richard M. Nixon,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Jimmy Carter,0.01855531751454895,1.0,1.0,0.007310268858439263,0.005331834586017235,0.024610142900505255,0.011016345824060171,0.0,0.013523127201517536,0.0038434182772965854
George W. Bush,0.0,1.0,0.0030762350096239536,1.0,0.008970432169226241,0.014905336847436132,0.030260722083107268,0.004123031242999514,0.003396220330614977,0.013919163587789957
Barack Obama,0.00403097623800606,0.012744295501639436,0.0038202377430956213,0.011679761928781172,1.0,0.02394659508143488,0.01172819540751552,0.0024428556469430515,0.0,0.018383907025584838
Lyndon B. Johnson,0.0066184620765081595,1.0,0.016042166495322772,0.010472657499956862,0.016866857042436272,1.0,0.012957209332413953,0.0,0.008836798853920769,0.008273529833814136
Bill Clinton,0.0008214063908493197,1.0,0.0028383688730439214,0.02639451372916878,0.005068102428475525,0.01346119204704871,1.0,0.0,0.0009186468885486772,0.006622321343184115
Ronald Reagan,0.015081561371334552,0.0,0.009012112059168595,0.017289456563207413,0.012932997775312543,0.01764130383200721,0.017139456567156968,1.0,0.004385052025860483,0.012741267263361583
Franklin D. Roosevelt,0.010321632297167396,0.00112840946595092,0.018107718585161286,0.01224087963932651,0.006157780948949556,0.022033777266222358,0.013717458088780566,0.0,1.0,0.005486487051223765
George H. W. Bush,0.006906731974689805,0.03227135660687833,0.0030029843038465094,0.01727874644620076,0.019046495200148044,0.016079742214980104,0.013938049042171486,0.0029225666355237783,0.0,1.0
