Name,John F. Kennedy,Richard M. Nixon,Jimmy Carter,George W. Bush,Barack Obama,Lyndon B. Johnson,Bill Clinton,Ronald Reagan,Franklin D. Roosevelt,George H. W. Bush
John F. Kennedy,1.0,0.017438870313850885,0.007208779224930299,0.0,0.010251242358944953,0.007029800275256241,0.008291627924556158,0.011443046495592581,0.01758284801435858,0.006399262212702354
Richard M. Nixon,0.0028780932465548386,1.0,0.004054532248589215,1.0,0.00031408440929226106,0.014259442318460179,0.0015871419623783585,0.007539845895560114,0.0,0.00402924309679991
Jimmy Carter,0.004892682928387358,0.01630860408276282,1.0,0.0,0.003966155553528819,0.0040448370771723275,0.007985757969032139,0.004075525800007495,0.0069185288973510825,0.011056429242587377
George W. Bush,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Barack Obama,0.008459255421080393,0.013128755331672681,0.004485239249156744,0.0,1.0,0.0025286109723245986,0.008052859159359214,0.008296166889818355,0.007738454747039637,0.007483080072445555
Lyndon B. Johnson,0.005893004449369576,0.027541980289970073,0.005225347406445217,0.0,0.0031914310477005724,1.0,0.004874830791693617,0.006246739699979685,0.010048940362850072,0.004321529603657551
Bill Clinton,0.008012249797379998,0.015889610950643028,0.010015841336735568,0.0,0.00956664021011521,0.005732770827020585,1.0,0.007079985571131472,0.012924555692230395,0.012742476382325207
Ronald Reagan,0.012368956478672654,0.022948539857232077,0.007324163523150884,0.0,0.011015627310763075,0.00831284363036269,0.008289360884458214,1.0,0.013800693796172988,0.00819733887352853
Franklin D. Roosevelt,0.008430753036768237,0.00542294856020129,0.0,1.0,0.0003046461567313866,0.0019692496592064314,0.004009648973327287,0.00368018377065412,1.0,0.0010551439177307268
George H. W. Bush,0.0015518951636374954,0.01378523475475219,0.008544762148870377,0.0,0.004443502647754436,0.0006081737420647954,0.00820545765420386,0.002424386785794843,0.005446857714068291,1.0
