Name,John F. Kennedy,Richard M. Nixon,Jimmy Carter,George W. Bush,Barack Obama,Lyndon B. Johnson,Bill Clinton,Ronald Reagan,Franklin D. Roosevelt,George H. W. Bush
John F. Kennedy,1.0,0.0081847257378919,0.0,0.020882229210503804,0.02247317649545958,0.000382040618876192,0.012631287489897638,0.00223817032741012,0.023597532017246743,0.011437372349359489
Richard M. Nixon,0.013667577694144837,1.0,0.003147685069032577,0.012939995400490904,0.011912234382434985,0.0,0.009238806856659296,0.011458799569276923,0.010152520574507815,0.026947093012119255
Jimmy Carter,0.003185666002989206,0.0007996461996098638,1.0,0.00475065450045705,0.0014118940682894595,0.0,0.002978031888748779,0.011389018751159672,0.0003049381203370548,0.007803881757311032
George W. Bush,0.023889890926408464,0.010502012364188162,0.004636975166357138,1.0,0.017079218164967127,0.0,0.011274829192045649,0.011440873187922711,0.011780290311567274,0.025375041355734724
Barack Obama,0.024608243911808075,0.008589755592765608,0.00040859818651701,0.016204034576369687,1.0,0.0,0.0104166540381973,0.0031846356519762815,0.01044694971600974,0.011161986391720533
Lyndon B. Johnson,0.0059080265825185,0.0,0.002349917972398759,0.0024638585088263064,0.003351265339865413,1.0,0.00613000650334848,0.00031213591135533723,0.0030945511357657945,0.0008156469015015678
Bill Clinton,0.01377366439078394,0.0048840101927500245,0.0009489345067208234,0.009375768149189802,0.009397967587098007,0.0017615454029421803,1.0,0.0,0.010595230983238339,0.006607513799278739
Ronald Reagan,0.007444083078569083,0.01115014401828657,0.013404221491242941,0.013568642353187828,0.006215032456225617,0.0,0.004065302938097802,1.0,0.003392563237769633,0.028155501796931458
Franklin D. Roosevelt,0.026411139807724464,0.00751833577339051,0.0,0.01159175046163274,0.01113862851628509,0.00044158364720582165,0.012303550200075234,0.0010522936292413159,1.0,0.009139324438907716
George H. W. Bush,0.01609972814851777,0.026152777542586127,0.00932742222925253,0.02698274084046348,0.013671349045454034,0.0,0.010147397910706615,0.027665767961487626,0.010962501538868972,1.0
