Name,John F. Kennedy,Richard M. Nixon,Jimmy Carter,George W. Bush,Barack Obama,Lyndon B. Johnson,Bill Clinton,Ronald Reagan,Franklin D. Roosevelt,George H. W. Bush
John F. Kennedy,1.0,0.021899155890295056,0.0034666015250839504,0.0023849257474798076,0.0014129763264708174,0.021899155890295056,0.01098723892181058,0.005691671082918554,0.0,0.001965164288199713
Richard M. Nixon,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Jimmy Carter,0.0,1.0,1.0,0.006584487647299583,0.003509336246943674,1.0,0.007486008842921315,0.008112419327440154,0.0036678216967643523,0.012997670765694575
George W. Bush,0.005581214153175205,0.0,0.013200063067943957,1.0,0.014779778289597258,0.0,0.018373817644691395,0.010729082825089931,0.002940599028970324,0.01197842355685861
Barack Obama,0.004233263402527031,0.0015263587669161083,0.009768382388332724,0.014404535381433893,1.0,0.0015263587669161083,0.022041174908150853,0.008900544598816607,0.0,0.01061639543681457
Lyndon B. Johnson,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bill Clinton,0.007693163776626703,1.0,0.0076323824426142994,0.01193866586022079,0.016004841178721405,1.0,1.0,0.008261182205708484,0.0,0.004195544960731765
Ronald Reagan,0.008357755704639865,0.0,0.014201272333726509,0.010210444407887046,0.008758483797486004,0.0,0.014203739123576016,1.0,0.004331120797987523,0.01508219311205119
Franklin D. Roosevelt,0.0056158025218234825,0.0,0.012697516759695736,0.005353109172209782,0.002799431179309705,0.0,0.00891677370342117,0.0072607231504134406,1.0,0.011133954452552448
George H. W. Bush,0.0,1.0,0.014482510770249079,0.0068509962838595945,0.005860539793160895,1.0,0.005546967262240282,0.010489637081506296,0.0035912088194750987,1.0
