Name,John F. Kennedy,Richard M. Nixon,Jimmy Carter,George W. Bush,Barack Obama,Lyndon B. Johnson,Bill Clinton,Ronald Reagan,Franklin D. Roosevelt,George H. W. Bush
John F. Kennedy,1.0,0.0,0.0041425193852039745,0.002311983432253677,0.0061671869669598966,0.012122162690129239,0.011252844885640679,0.0037508823553933273,0.00671720468114834,0.009669784490429847
Richard M. Nixon,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Jimmy Carter,0.0025017688114595733,0.004773902565527367,1.0,0.005008319890234328,0.004659349211646284,0.0,0.004130752069150984,0.0043802363689305355,0.0181655541332528,0.01090113360716441
George W. Bush,0.002760053120589541,0.0,0.007091071243633701,1.0,0.010701610755263068,0.0008772205847385199,0.007941022628803338,0.004891290726589625,0.015241994270243116,0.02653320670831204
Barack Obama,0.006730247439628665,0.0,0.006859538036482004,0.010817852595347788,1.0,0.0037032022104529286,0.01365789679898478,0.004859649985998268,0.012187532550181405,0.02335729062221093
Lyndon B. Johnson,0.01269229916131311,0.0,0.002221048907828898,0.001005190298601138,0.003713747057759798,1.0,0.008729989545848386,0.00426549250627283,0.005272230403393632,0.013118706428823764
Bill Clinton,0.012396423855635434,0.0,0.006918744940568346,0.00864320574673145,0.014240207434076146,0.009304723928200972,1.0,0.008207885409159356,0.011163523895085944,0.0232004763346834
Ronald Reagan,6.061621682171077e-05,1.0,0.0023360283627596196,0.0007564805659521025,0.0006072804372950423,0.0,0.0033814457404875925,1.0,0.005772186812467777,0.005948142095719227
Franklin D. Roosevelt,0.0020289270973508915,1.0,0.01515392101663552,0.010149403705555782,0.006962464914792332,0.0,0.00534582186390084,0.0047659549081216215,1.0,0.011798256774213551
George H. W. Bush,5.36197546325454e-05,1.0,0.0029396577232076175,0.01663915155347475,0.013315021542646127,0.002960607024920179,0.012573644072168976,0.0,0.006890220581432072,1.0
