Name,John F. Kennedy,Richard M. Nixon,Jimmy Carter,George W. Bush,Barack Obama,Lyndon B. Johnson,Bill Clinton,Ronald Reagan,Franklin D. Roosevelt,George H. W. Bush
John F. Kennedy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Richard M. Nixon,1.0,1.0,0.0008230964946891109,0.005558912643195305,1.0,0.0,1.0,0.0108899340740341,1.0,1.0
Jimmy Carter,1.0,0.002701640298420584,1.0,0.0,1.0,0.011598491693549495,1.0,0.022796479494279015,1.0,1.0
George W. Bush,1.0,0.008393928555068078,0.00097260089184374,1.0,1.0,0.0,1.0,0.0072411138265272125,1.0,1.0
Barack Obama,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Lyndon B. Johnson,0.0,0.013740811778906268,0.023343727820472334,0.010921082682489988,0.0,1.0,0.0,0.023653931360629956,0.0,0.0
Bill Clinton,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ronald Reagan,1.0,0.006515819938204544,0.016626186794387775,0.0,1.0,0.0056734085578312434,1.0,1.0,1.0,1.0
Franklin D. Roosevelt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
George H. W. Bush,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
