Name,John F. Kennedy,Richard M. Nixon,Jimmy Carter,George W. Bush,Barack Obama,Lyndon B. Johnson,Bill Clinton,Ronald Reagan,Franklin D. Roosevelt,George H. W. Bush
John F. Kennedy,1.0,0.009632180369401463,0.014695343918926358,0.0028972663479079888,0.004439299633270338,0.02262332981913479,0.005286343948995546,0.007748740820409645,0.0,0.005674742048397248
Richard M. Nixon,0.008678250456775767,1.0,0.004859670393790035,0.003160717685805626,0.0071330366407305786,0.01704855770316181,0.007471997354717079,0.008014333057321096,0.0,0.007306412896082225
Jimmy Carter,0.014569114384504363,0.005689907929528567,1.0,0.004214978399494136,0.011837920089172565,0.02243243086359553,0.008914176557505085,0.007666968285673199,0.0,0.010963110039974827
George W. Bush,0.005026487589792821,0.00624656731277367,0.00646866926011104,1.0,0.01648065842420862,0.0037884152560709963,0.008517250421779324,0.014000282307631347,0.0,0.008849794419284598
Barack Obama,0.005896809789763112,0.009540621244185574,0.01341099267173945,0.01581891166308548,1.0,0.011877045881864253,0.02990597480129478,0.01428438134941126,0.0,0.013441317768496174
Lyndon B. Johnson,0.023880833280621863,0.019257892080088376,0.023815241102204662,0.0029410241224534653,0.011701497398036165,1.0,0.01049857942513973,0.010528725268639553,0.0,0.01054796247106648
Bill Clinton,0.006093951816618463,0.009232145919557991,0.00984568982259371,0.007202206679440291,0.029272439786781193,0.010028247047499021,1.0,0.010503624990855559,0.0,0.013587186258650864
Ronald Reagan,0.011320554569046093,0.012536323371453299,0.011365732489694857,0.015447170263398625,0.016392658379713158,0.012820415890709454,0.013264391471771402,1.0,0.0,0.008011275625730062
Franklin D. Roosevelt,0.0035997069447825164,0.004558523842456852,0.003727341613967122,0.0014674324239720873,0.002138828877634699,0.0023160759494440337,0.002790072354627744,0.0,1.0,0.0089155150482487
George H. W. Bush,0.0012527823437419156,0.003851207742132623,0.0066919236164985855,0.002311482666998759,0.0076010161774346646,0.004867326405983707,0.008395331065928597,0.0,0.0009115420370207588,1.0
