Name,John F. Kennedy,Richard M. Nixon,Jimmy Carter,George W. Bush,Barack Obama,Lyndon B. Johnson,Bill Clinton,Ronald Reagan,Franklin D. Roosevelt,George H. W. Bush
John F. Kennedy,1.0,0.0,0.011400451667105231,0.015810773947316958,0.002650614374649374,0.014893758112996777,0.011433160605868891,0.03212878914457982,0.0,0.004530216978604754
Richard M. Nixon,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Jimmy Carter,0.002429543970889644,1.0,1.0,0.0038579418639751112,0.009010494730508668,0.0,0.005173481274528976,0.017964002830978276,1.0,0.0057602682423268155
George W. Bush,0.0034014501121194655,1.0,0.00036892040912017763,1.0,0.0005727099456299148,0.0,0.01051749422279774,0.010485033663514852,1.0,0.0017829002558750625
Barack Obama,0.0,0.00017009466436155758,0.015312193888926559,0.010394192964016993,1.0,0.001791030962248242,0.015574454290635876,0.011791508890672752,0.00017009466436155758,0.01456614600199234
Lyndon B. Johnson,0.01050346290210445,0.0009401906565879262,0.00457616195166706,0.00805049883307524,0.0,1.0,0.005746036674213726,0.016015778132620364,0.0009401906565879262,8.489248093859861e-05
Bill Clinton,0.0012888115317598152,1.0,0.004002932862850435,0.012810897191785466,0.0081087104333362,0.0,1.0,0.008528349201788092,1.0,0.028970499427509663
Ronald Reagan,0.01797698458348649,1.0,0.012565423066575892,0.00851803881518845,0.0,0.006058048988181016,0.004249534059923999,1.0,1.0,0.004962319848222476
Franklin D. Roosevelt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
George H. W. Bush,8.84313593909603e-06,0.010192089154684971,0.010226045907100847,0.009734979798169709,0.012714223580809566,0.0,0.03446810415147899,0.014847394419951145,0.010192089154684971,1.0
