Name,John F. Kennedy,Richard M. Nixon,Jimmy Carter,George W. Bush,Barack Obama,Lyndon B. Johnson,Bill Clinton,Ronald Reagan,Franklin D. Roosevelt,George H. W. Bush
John F. Kennedy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Richard M. Nixon,0.0,1.0,0.0,0.003436900600825547,0.0026309656997705157,0.015656009548354503,0.006692399622077383,0.004019813803020636,0.0005697516672389019,0.0050316426032195605
Jimmy Carter,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
George W. Bush,0.0,0.0060725499611257,0.0,1.0,0.016891784729549175,0.005927930084376118,0.01189412138680797,0.009769477003264332,0.004537076919936582,0.017054769809720025
Barack Obama,0.0,0.002410794988585337,0.0,0.01406722719529108,1.0,0.0026928059765494905,0.013225650155441533,0.006817151794123011,0.0024322766980461284,0.013459732530889893
Lyndon B. Johnson,0.0,0.018249522566482778,0.0,0.005917986750439886,0.005540002499341539,1.0,0.009884911886980523,0.010483292999908689,0.007184575900047403,0.010710834290565307
Bill Clinton,1.0,0.0009371790726443358,1.0,0.003533646100272649,0.0077273289167043594,0.001517423902841773,1.0,0.0036702026760322966,0.0,0.003334279775862263
Ronald Reagan,0.0,0.0032087351790778757,0.0,0.0063350962409431085,0.0062277279089676865,0.0070613199368874825,0.00860298994172342,1.0,0.010318635483911072,0.00673065434852276
Franklin D. Roosevelt,0.0,0.005357498144625462,0.0,0.006678742487055551,0.00743021206458228,0.009330454866766846,0.010523499032660897,0.015861115802703937,1.0,0.014008423568573843
George H. W. Bush,0.012438177872437286,0.0,0.012438177872437286,0.009464220547800382,0.0086895447913957,0.00308126737767196,0.00406450004915376,0.0025199038761627534,0.004252070921327258,1.0
